Frame,Class,License Plate,Confidence
0,Missing-license-plate,173_403_299_461,0.51
0,Registered-license-plate,231_233_424_365,0.56
0,Missing-license-plate,173_403_299_461,0.51
0,Missing-license-plate,173_403_299_461,0.51
0,Missing-license-plate,173_403_299_461,0.51
0,Enquiry-license-plate,129_224_499_493,0.78
0,Missing-license-plate,173_403_299_461,0.51
0,Enquiry-license-plate,129_224_499_493,0.78
0,Enquiry-license-plate,129_224_499_493,0.78
0,Registered-license-plate,231_233_424_365,0.56
0,Missing-license-plate,173_403_299_461,0.51
0,Enquiry-license-plate,129_224_499_493,0.78
0,Enquiry-license-plate,129_224_499_493,0.78
0,Enquiry-license-plate,129_224_499_493,0.78
0,Registered-license-plate,231_233_424_365,0.56
0,Enquiry-license-plate,129_224_499_493,0.78
0,Missing-license-plate,173_403_299_461,0.51
